phenotype	phenoscore	phenoscore_time	pheno_id
dendritic spine morphogenesis	 -6.0618288	23.5	Pheno9
fibrosis	  0.6795706	23.5	Pheno9
g1/s transition	  6.3738805	23.5	Pheno9
glycogen synthesis	 11.5109364	23.5	Pheno9
glycolysis	 -2.0968536	23.5	Pheno9
immortality	-15.0910285	23.5	Pheno9
lipogenesis	  7.6609714	23.5	Pheno9
m2 polarization	 19.8033620	23.5	Pheno9
metastasis	  5.4716485	23.5	Pheno9
mitotic checkpoint	 10.1270907	23.5	Pheno9
muscle atrophy	  5.7554682	23.5	Pheno9
myotube hypertrophy	 -3.1244336	23.5	Pheno9
neurogenesis	  8.7319294	23.5	Pheno9
proliferation	  0.9841909	23.5	Pheno9
protein synthesis	 -1.6047928	23.5	Pheno9
skeletal muscle differentiation	  2.7372727	23.5	Pheno9
stress granules	-22.2049571	23.5	Pheno9
survival	 -2.0809324	23.5	Pheno9
synaptic plasticity	 -2.4862770	23.5	Pheno9
t cell activation	  6.6509523	23.5	Pheno9
translational regulation	 -6.3366649	23.5	Pheno9
vldl assembly	  8.4478425	23.5	Pheno9
adipogenesis	  1.5775055	20.96	Pheno10
apoptosis	  1.8752845	20.96	Pheno10
autophagy	 11.1024785	20.96	Pheno10
cell cycle block	 -1.9668738	20.96	Pheno10
cell cycle exit	 -0.5113568	20.96	Pheno10
cell cycle progress 	  1.9668738	20.96	Pheno10
cell death	  2.3021601	20.96	Pheno10
cell growth	  7.2380665	20.96	Pheno10
centrosome separation	 11.0254243	20.96	Pheno10
dendritic spine morphogenesis	 -5.5806783	20.96	Pheno10
fibrosis	  0.7371684	20.96	Pheno10
g1/s transition	  5.4683474	20.96	Pheno10
glycogen synthesis	 27.5213531	20.96	Pheno10
glycolysis	 -1.9767484	20.96	Pheno10
immortality	-27.5213531	20.96	Pheno10
lipogenesis	  8.6072526	20.96	Pheno10
m2 polarization	 16.9024239	20.96	Pheno10
metastasis	  6.4279702	20.96	Pheno10
mitotic checkpoint	  8.2118936	20.96	Pheno10
muscle atrophy	 11.1024785	20.96	Pheno10
myotube hypertrophy	 -2.5016706	20.96	Pheno10
neurogenesis	  9.0312298	20.96	Pheno10
proliferation	  0.8123643	20.96	Pheno10
protein synthesis	 -1.6675043	20.96	Pheno10
skeletal muscle differentiation	  2.7372727	20.96	Pheno10
stress granules	-12.0927519	20.96	Pheno10
survival	 -1.8667538	20.96	Pheno10
synaptic plasticity	 -2.5071979	20.96	Pheno10
t cell activation	  5.7678862	20.96	Pheno10
translational regulation	 -4.9322975	20.96	Pheno10
vldl assembly	 17.0694270	20.96	Pheno10
adipogenesis	 -1.17622143	23.1	Pheno11
alternative splicing regulation	 15.15475889	23.1	Pheno11
apoptosis	  0.38589958	23.1	Pheno11
autophagy	  0.20356810	23.1	Pheno11
cell cycle block	 -0.49204344	23.1	Pheno11
cell cycle exit	 -0.15896877	23.1	Pheno11
cell cycle progress 	  0.49204344	23.1	Pheno11
cell death	  0.00000000	23.1	Pheno11
cell growth	  3.14557805	23.1	Pheno11
centrosome separation	 14.05574547	23.1	Pheno11
chromatine condensation	-17.18581850	23.1	Pheno11
chromosome segregation	  2.70574098	23.1	Pheno11
dendritic spine morphogenesis	 -1.70522434	23.1	Pheno11
differentiation	  0.91564367	23.1	Pheno11
dna repair	  0.43493774	23.1	Pheno11
epigenetic regulation	 -1.65950916	23.1	Pheno11
epithelial-mesenchymal transition	  0.57978197	23.1	Pheno11
fatty acid biosynthesis	  7.13587240	23.1	Pheno11
fibrosis	  1.33281169	23.1	Pheno11
food intake	 -6.17680949	23.1	Pheno11
g1/s transition	  4.08087899	23.1	Pheno11
glycogen synthesis	  1.89272770	23.1	Pheno11
glycolysis	 -0.31449046	23.1	Pheno11
hexosamine biosynthesis	 20.53768200	23.1	Pheno11
immortality	 -4.78146956	23.1	Pheno11
lipogenesis	  3.57607145	23.1	Pheno11
m1 polarization	  4.21972874	23.1	Pheno11
m2 polarization	  3.49010467	23.1	Pheno11
mast-cell diff	  6.67105934	23.1	Pheno11
megakaryocyte differentiation 	  6.67105934	23.1	Pheno11
metastasis	  3.47612797	23.1	Pheno11
microtubule polimerization	  4.12729245	23.1	Pheno11
mitochondrial fission	 -3.13470404	23.1	Pheno11
mitotic checkpoint	  3.27504144	23.1	Pheno11
mrna capping	  4.15007815	23.1	Pheno11
muscle atrophy	 -0.28971998	23.1	Pheno11
myoblast fusion	  1.28937101	23.1	Pheno11
myotube hypertrophy	 -2.38769196	23.1	Pheno11
neurite outgrowth	  2.17218448	23.1	Pheno11
neurodegeneration	  3.25395329	23.1	Pheno11
neurogenesis	 -3.12027254	23.1	Pheno11
neuron maturation	         Inf	23.1	Pheno11
nucleotide synthesis	  0.00000000	23.1	Pheno11
osteoclast differentiation	  8.54393657	23.1	Pheno11
proliferation	  0.02025147	23.1	Pheno11
protein aggregates	  2.75275468	23.1	Pheno11
protein glycosylation	 20.53768200	23.1	Pheno11
protein synthesis	 -1.48230361	23.1	Pheno11
pyrimidine biosynthesis	 -6.85990158	23.1	Pheno11
rrna transcription	  1.97758506	23.1	Pheno11
skeletal muscle differentiation	 -5.09035735	23.1	Pheno11
spindle assembly	  3.38234643	23.1	Pheno11
stress granules	-15.29140018	23.1	Pheno11
survival	 -1.05973767	23.1	Pheno11
synaptic plasticity	 -0.54383092	23.1	Pheno11
synaptic vesicle exocytosis	  6.08817533	23.1	Pheno11
t cell activation	  1.02672369	23.1	Pheno11
translational regulation	 -2.27549280	23.1	Pheno11
vesicle transport	         Inf	23.1	Pheno11
vldl assembly	  4.36686020	23.1	Pheno11
adipogenesis	-1.540478e+00	24.58	Pheno12
alternative splicing regulation	 1.447787e+01	24.58	Pheno12
apoptosis	 3.357874e-01	24.58	Pheno12
autophagy	 1.216393e-01	24.58	Pheno12
cell cycle block	-5.398322e-01	24.58	Pheno12
cell cycle exit	-1.089899e-01	24.58	Pheno12
cell cycle progress 	 5.398322e-01	24.58	Pheno12
cell death	-2.464753e-17	24.58	Pheno12
cell growth	 2.877049e+00	24.58	Pheno12
centrosome separation	 1.731919e+01	24.58	Pheno12
chromatine condensation	-1.601843e+01	24.58	Pheno12
chromosome segregation	 2.604016e+00	24.58	Pheno12
dendritic spine morphogenesis	-1.530254e+00	24.58	Pheno12
differentiation	 1.040411e+00	24.58	Pheno12
dna repair	 6.097555e-01	24.58	Pheno12
epigenetic regulation	-1.502483e+00	24.58	Pheno12
epithelial-mesenchymal transition	 1.030810e+00	24.58	Pheno12
fatty acid biosynthesis	 8.036836e+00	24.58	Pheno12
fibrosis	 1.077790e+00	24.58	Pheno12
food intake	-5.002431e+00	24.58	Pheno12
g1/s transition	 4.632668e+00	24.58	Pheno12
glycogen synthesis	 2.004118e+00	24.58	Pheno12
glycolysis	-3.257575e-01	24.58	Pheno12
hexosamine biosynthesis	 2.057467e+01	24.58	Pheno12
immortality	-5.029934e+00	24.58	Pheno12
lipogenesis	 3.796617e+00	24.58	Pheno12
m1 polarization	 3.614927e+00	24.58	Pheno12
m2 polarization	 2.941540e+00	24.58	Pheno12
mast-cell diff	 1.068855e+01	24.58	Pheno12
megakaryocyte differentiation 	 1.068855e+01	24.58	Pheno12
metastasis	 3.637280e+00	24.58	Pheno12
microtubule polimerization	 4.019788e+00	24.58	Pheno12
mitochondrial fission	-2.846445e+00	24.58	Pheno12
mitotic checkpoint	 3.960178e+00	24.58	Pheno12
mrna capping	 4.584780e+00	24.58	Pheno12
muscle atrophy	-5.623004e-01	24.58	Pheno12
myoblast fusion	 1.037344e+00	24.58	Pheno12
myotube hypertrophy	-1.840519e+00	24.58	Pheno12
neurite outgrowth	 2.382532e+00	24.58	Pheno12
neurodegeneration	 2.978797e+00	24.58	Pheno12
neurogenesis	-3.001666e+00	24.58	Pheno12
neuron maturation	          Inf	24.58	Pheno12
nucleotide synthesis	 0.000000e+00	24.58	Pheno12
osteoclast differentiation	 8.049539e+00	24.58	Pheno12
proliferation	 1.324642e-01	24.58	Pheno12
protein aggregates	 3.098827e+00	24.58	Pheno12
protein glycosylation	 2.057467e+01	24.58	Pheno12
protein synthesis	-1.584370e+00	24.58	Pheno12
pyrimidine biosynthesis	-6.966050e+00	24.58	Pheno12
rrna transcription	 2.120389e+00	24.58	Pheno12
skeletal muscle differentiation	-5.640728e+00	24.58	Pheno12
spindle assembly	 3.274036e+00	24.58	Pheno12
stress granules	-1.529140e+01	24.58	Pheno12
survival	-1.604246e+00	24.58	Pheno12
synaptic plasticity	-2.535403e-01	24.58	Pheno12
synaptic vesicle exocytosis	 4.245175e+00	24.58	Pheno12
t cell activation	 8.917333e-01	24.58	Pheno12
translational regulation	-2.396434e+00	24.58	Pheno12
vesicle transport	          Inf	24.58	Pheno12
vldl assembly	 4.690869e+00	24.58	Pheno12
cell death	  4.573592	20.3	Pheno13
glycolysis	-22.399934	20.3	Pheno13
lipogenesis	  8.835362	20.3	Pheno13
myotube hypertrophy	 31.472743	20.3	Pheno13
proliferation	  0.000000	20.3	Pheno13
vldl assembly	 12.808636	20.3	Pheno13
cell death	  4.508535	21.5	Pheno14
glycolysis	-43.941394	21.5	Pheno14
lipogenesis	  6.857425	21.5	Pheno14
myotube hypertrophy	 16.129670	21.5	Pheno14
proliferation	  0.000000	21.5	Pheno14
vldl assembly	 13.529776	21.5	Pheno14
apoptosis	 2.0712445	21	Pheno15
autophagy	 8.7194723	21	Pheno15
cell cycle block	-2.7678489	21	Pheno15
cell cycle exit	-1.2765703	21	Pheno15
cell cycle progress 	 2.7678489	21	Pheno15
cell death	 2.1370635	21	Pheno15
cell growth	 8.3156526	21	Pheno15
centrosome separation	22.4112147	21	Pheno15
dendritic spine morphogenesis	-6.5144582	21	Pheno15
fibrosis	 0.6138580	21	Pheno15
glycolysis	-2.1424006	21	Pheno15
lipogenesis	12.7625407	21	Pheno15
m2 polarization	16.8861117	21	Pheno15
metastasis	 6.9499067	21	Pheno15
muscle atrophy	 8.7194723	21	Pheno15
myotube hypertrophy	-2.8108914	21	Pheno15
proliferation	 0.3609601	21	Pheno15
protein synthesis	-0.6481815	21	Pheno15
skeletal muscle differentiation	 3.7501441	21	Pheno15
survival	-1.9150295	21	Pheno15
t cell activation	 6.8353573	21	Pheno15
translational regulation	-7.7405350	21	Pheno15
vldl assembly	15.1142380	21	Pheno15
apoptosis	 2.1903399	20.39	Pheno16
autophagy	 8.7054579	20.39	Pheno16
cell cycle block	-1.9947438	20.39	Pheno16
cell cycle exit	-0.6079845	20.39	Pheno16
cell cycle progress 	 1.9947438	20.39	Pheno16
cell death	 1.8574300	20.39	Pheno16
cell growth	 8.3156526	20.39	Pheno16
centrosome separation	17.4109159	20.39	Pheno16
dendritic spine morphogenesis	-5.1749063	20.39	Pheno16
fibrosis	 0.6587316	20.39	Pheno16
glycolysis	-2.0935964	20.39	Pheno16
lipogenesis	14.9626614	20.39	Pheno16
m2 polarization	16.3266175	20.39	Pheno16
metastasis	 6.4262177	20.39	Pheno16
muscle atrophy	 8.7054579	20.39	Pheno16
myotube hypertrophy	-2.1034134	20.39	Pheno16
proliferation	 0.2606868	20.39	Pheno16
protein synthesis	-0.6114185	20.39	Pheno16
skeletal muscle differentiation	 3.0331830	20.39	Pheno16
survival	-2.0671433	20.39	Pheno16
t cell activation	 5.6023823	20.39	Pheno16
translational regulation	-9.7582364	20.39	Pheno16
vldl assembly	11.9500179	20.39	Pheno16
adipogenesis	 -2.49229206	23.08	Pheno17
alternative splicing regulation	 15.99924977	23.08	Pheno17
apoptosis	  0.56690544	23.08	Pheno17
autophagy	  0.87011398	23.08	Pheno17
cell cycle block	 -0.66403903	23.08	Pheno17
cell cycle exit	 -0.62571815	23.08	Pheno17
cell cycle progress 	  0.66403903	23.08	Pheno17
cell death	  0.06352145	23.08	Pheno17
cell growth	  3.16370106	23.08	Pheno17
centrosome separation	  7.24209501	23.08	Pheno17
chromatine condensation	-24.43740282	23.08	Pheno17
cilium assembly	-22.52135584	23.08	Pheno17
dendritic spine morphogenesis	 -2.41903109	23.08	Pheno17
differentiation	  1.03606308	23.08	Pheno17
dna repair	  0.22484079	23.08	Pheno17
epigenetic regulation	 -1.94338280	23.08	Pheno17
epithelial-mesenchymal transition	  2.15568570	23.08	Pheno17
fatty acid biosynthesis	  7.87367222	23.08	Pheno17
fibrosis	  1.19375311	23.08	Pheno17
food intake	 -5.33563748	23.08	Pheno17
g1/s transition	  2.27517361	23.08	Pheno17
glycogen synthesis	  2.40152498	23.08	Pheno17
glycolysis	 -0.46086910	23.08	Pheno17
immortality	 -7.39162965	23.08	Pheno17
lipogenesis	  4.32455808	23.08	Pheno17
m1 polarization	  3.95293991	23.08	Pheno17
m2 polarization	  3.14993846	23.08	Pheno17
mast-cell diff	  9.50961771	23.08	Pheno17
megakaryocyte differentiation 	  9.50961771	23.08	Pheno17
metastasis	  3.65216037	23.08	Pheno17
microtubule polimerization	  5.18577505	23.08	Pheno17
mitochondrial fission	 -4.52998856	23.08	Pheno17
mitotic checkpoint	  3.17930058	23.08	Pheno17
muscle atrophy	  0.79547267	23.08	Pheno17
myoblast fusion	  3.43162187	23.08	Pheno17
myotube hypertrophy	 -2.56803215	23.08	Pheno17
neurite outgrowth	  2.50474779	23.08	Pheno17
neurodegeneration	  1.90958693	23.08	Pheno17
neurogenesis	 -5.48622605	23.08	Pheno17
neuron maturation	         Inf	23.08	Pheno17
nucleotide synthesis	  0.00000000	23.08	Pheno17
osteoclast differentiation	 15.28071955	23.08	Pheno17
proliferation	  0.19682193	23.08	Pheno17
protein synthesis	 -2.15941091	23.08	Pheno17
pyrimidine biosynthesis	 -6.32278595	23.08	Pheno17
rrna transcription	-10.06942297	23.08	Pheno17
skeletal muscle differentiation	 -4.94149957	23.08	Pheno17
spindle assembly	  4.12417567	23.08	Pheno17
stress granules	-11.67694929	23.08	Pheno17
survival	 -1.64343811	23.08	Pheno17
synaptic plasticity	  0.55764866	23.08	Pheno17
synaptic vesicle exocytosis	  4.56139031	23.08	Pheno17
t cell activation	  1.28634094	23.08	Pheno17
translational regulation	 -3.66358864	23.08	Pheno17
vesicle transport	         Inf	23.08	Pheno17
vldl assembly	  4.82722163	23.08	Pheno17
adipogenesis	 -2.42198180	22.59	Pheno18
alternative splicing regulation	 12.92141983	22.59	Pheno18
apoptosis	  0.55470830	22.59	Pheno18
autophagy	  0.78867443	22.59	Pheno18
cell cycle block	 -0.75165032	22.59	Pheno18
cell cycle exit	 -0.78208037	22.59	Pheno18
cell cycle progress 	  0.75165032	22.59	Pheno18
cell death	  0.04603642	22.59	Pheno18
cell growth	  3.18402639	22.59	Pheno18
centrosome separation	 12.64429188	22.59	Pheno18
chromatine condensation	-27.39224957	22.59	Pheno18
cilium assembly	-22.53182127	22.59	Pheno18
dendritic spine morphogenesis	 -3.04577331	22.59	Pheno18
differentiation	  1.25488284	22.59	Pheno18
dna repair	  0.30061221	22.59	Pheno18
epigenetic regulation	 -1.72220326	22.59	Pheno18
epithelial-mesenchymal transition	  1.95196729	22.59	Pheno18
fatty acid biosynthesis	  7.26242117	22.59	Pheno18
fibrosis	  1.22095280	22.59	Pheno18
food intake	 -6.17776678	22.59	Pheno18
g1/s transition	  3.10433649	22.59	Pheno18
glycogen synthesis	  2.08863733	22.59	Pheno18
glycolysis	 -0.41331483	22.59	Pheno18
immortality	 -6.67522677	22.59	Pheno18
lipogenesis	  3.88775936	22.59	Pheno18
m1 polarization	  3.66995818	22.59	Pheno18
m2 polarization	  3.10582495	22.59	Pheno18
mast-cell diff	  7.80786914	22.59	Pheno18
megakaryocyte differentiation 	  7.80786914	22.59	Pheno18
metastasis	  3.01633901	22.59	Pheno18
microtubule polimerization	  4.45614138	22.59	Pheno18
mitochondrial fission	 -2.93194810	22.59	Pheno18
mitotic checkpoint	  3.57865240	22.59	Pheno18
muscle atrophy	  0.59895440	22.59	Pheno18
myoblast fusion	  3.93398895	22.59	Pheno18
myotube hypertrophy	 -2.00394948	22.59	Pheno18
neurite outgrowth	  2.75526396	22.59	Pheno18
neurodegeneration	  2.12591297	22.59	Pheno18
neurogenesis	 -5.17115500	22.59	Pheno18
neuron maturation	         Inf	22.59	Pheno18
nucleotide synthesis	  0.00000000	22.59	Pheno18
osteoclast differentiation	 16.34587823	22.59	Pheno18
proliferation	  0.16543178	22.59	Pheno18
protein synthesis	 -1.61070764	22.59	Pheno18
pyrimidine biosynthesis	 -6.51988627	22.59	Pheno18
rrna transcription	-14.12302007	22.59	Pheno18
skeletal muscle differentiation	 -4.11702837	22.59	Pheno18
spindle assembly	  5.90496946	22.59	Pheno18
stress granules	-12.25876484	22.59	Pheno18
survival	 -1.55031302	22.59	Pheno18
synaptic plasticity	  0.41325791	22.59	Pheno18
synaptic vesicle exocytosis	  4.64367346	22.59	Pheno18
t cell activation	  0.99759645	22.59	Pheno18
translational regulation	 -3.38029894	22.59	Pheno18
vesicle transport	         Inf	22.59	Pheno18
vldl assembly	  3.72164483	22.59	Pheno18
apoptosis	  2.746310	23.79	Pheno19
cell cycle block	 -3.279371	23.79	Pheno19
cell cycle exit	 -6.931729	23.79	Pheno19
cell cycle progress 	  3.279371	23.79	Pheno19
cell death	  3.923674	23.79	Pheno19
cell growth	  8.225980	23.79	Pheno19
glycolysis	-17.177786	23.79	Pheno19
lipogenesis	  8.020606	23.79	Pheno19
myotube hypertrophy	 13.318923	23.79	Pheno19
proliferation	  0.000000	23.79	Pheno19
vldl assembly	 12.773874	23.79	Pheno19
apoptosis	  3.084140	21.02	Pheno20
cell cycle block	 -3.341304	21.02	Pheno20
cell cycle exit	 -7.454435	21.02	Pheno20
cell cycle progress 	  3.341304	21.02	Pheno20
cell death	  5.072352	21.02	Pheno20
cell growth	  9.505486	21.02	Pheno20
glycolysis	-24.497151	21.02	Pheno20
lipogenesis	  7.600768	21.02	Pheno20
myotube hypertrophy	 24.497151	21.02	Pheno20
proliferation	  0.000000	21.02	Pheno20
vldl assembly	 15.223214	21.02	Pheno20
adipogenesis	  1.9035525	20.76	Pheno21
