conditions	Precision	Recall	RMSE	phenoscore_time	norm_RMSE	norm_time	score
Pheno86	0.75	0.3	104.19426159955715	17.67	0.7902378137239249	0.7102090032154342	-0.09534231533164195
Pheno20	0.75	0.3	95.58509063202078	21.02	0.7249435034719067	0.844855305466238	-0.09737115620502568
Pheno34	0.56	0.5	98.44924074746315	21.03	0.7466660022991735	0.8452572347266882	-0.10929461966251752
Pheno61	0.75	0.3	105.29657036150954	18.56	0.7985980252434591	0.7459807073954984	-0.12158837894120822
Pheno33	0.56	0.5	98.66258751197998	21.62	0.7482840825865966	0.8689710610932476	-0.12276961313322032
Pheno22	0.56	0.5	101.76787012501805	20.45	0.7718353963101208	0.8219453376205788	-0.12280806512040998
Pheno8	0.75	0.3	98.15595339159907	21.4	0.7444416306751235	0.860128617363344	-0.12450593935679533
Pheno74	0.75	0.3	110.29375778971016	17.1	0.8364980631861123	0.687299035369775	-0.13014758087099976
Pheno7	0.75	0.3	96.58580135891835	22.59	0.7325331676708128	0.9079581993569132	-0.13651226734926936
Pheno10	0.56	0.5	102.68197279836951	20.96	0.7787682013131895	0.842443729903537	-0.13999006626495802
Pheno21	0.56	0.5	103.7725669373344	20.76	0.7870395659239197	0.8344051446945339	-0.14424213827118648
Pheno49	0.75	0.3	109.01165248226056	18.65	0.8267742254279768	0.7495980707395498	-0.15157326079775157
Pheno19	0.75	0.3	97.17706631581693	23.79	0.737017483022716	0.9561897106109325	-0.16511233832818228
Pheno11	0.56	0.5	100.93743098659891	23.1	0.7655371184673618	0.9284565916398715	-0.16976541428729752
Pheno56	0.8	0.4	131.85177903415052	18.43	1	0.7407556270096464	-0.17037781350482306
Pheno9	0.56	0.5	101.0610693183119	23.5	0.7664748254336134	0.9445337620578779	-0.17874170646255227
Pheno85	0.75	0.3	116.11415864733563	17.34	0.8806415772157405	0.6969453376205788	-0.17911424602602977
Pheno42	0.5	0.5	98.34312120537074	22.23	0.7458611626309508	0.8934887459807075	-0.19260553562130456
Pheno41	0.5	0.5	98.14304191455953	22.34	0.7443437064974285	0.8979099678456592	-0.19329869042025827
Pheno24	0.5	0.5	100.84216113453078	21.68	0.764814565819487	0.8713826366559486	-0.2005058841474614
Pheno30	0.5	0.5	97.81338046605089	22.95	0.741843463793663	0.922427652733119	-0.20305729016022234
Pheno23	0.5	0.5	101.06130679260521	22.1	0.7664766265036866	0.8882636655948554	-0.21060845930111438
Pheno62	0.75	0.3	121.17345743267134	17.1	0.9190126847001934	0.687299035369775	-0.21266220238508082
Pheno29	0.5	0.5	97.67929253756708	23.75	0.7408265042238639	0.9545819935691319	-0.21811750100842975
Pheno50	0.75	0.3	119.93823383423704	18.22	0.9096444106618554	0.7323151125401929	-0.22580196693195176
Pheno14	0.67	0.2	91.7601444965897	21.5	0.6959340645136323	0.8641479099678457	-0.2580080194975549
Pheno12	0.5	0.5	101.04482007370258	24.58	0.7663515867126167	0.9879421221864951	-0.2603226478058642
Pheno13	0.67	0.2	96.14195963347359	20.3	0.7291669504783258	0.8159163987138264	-0.26712514983523894
Pheno2	0.67	0.2	98.9721061507563	19.89	0.750631556705214	0.7994372990353699	-0.28035020622289886
Pheno1	0.67	0.2	97.34926595962268	22.9	0.7383234922784664	0.9204180064308681	-0.3285324954939004
Pheno39	0.43	0.3	100.36088127489747	20.53	0.7611644075648255	0.8251607717041801	-0.44374479341691564
Pheno40	0.43	0.3	101.42804109711123	20.42	0.7692580398997928	0.8207395498392284	-0.44962781481940706
Pheno28	0.43	0.3	101.55936384130719	21.37	0.770254027554703	0.8589228295819936	-0.46971544234569973
Pheno27	0.43	0.3	101.50099104205964	21.94	0.769811312259732	0.8818327974276529	-0.4807277109735584
Pheno31	0	0	106.94375569132498	20.18	0.8110907298689221	0.8110932475884245	-1.2166373536631343
Pheno43	0	0	107.27014366705114	20.24	0.8135661456586599	0.8135048231511254	-1.2203185572342226
Pheno37	0	0	108.14802185029113	19.94	0.8202242142085928	0.8014469453376206	-1.2209476868774032
Pheno32	0	0	107.34152544016028	20.74	0.8141075245739239	0.8336012861736334	-1.2309081676607405
Pheno44	0	0	107.95166452886848	20.52	0.8187349865101801	0.8247588424437299	-1.231114407732045
Pheno38	0	0	108.51359817619799	20.37	0.8229968451778888	0.8187299035369776	-1.2323617969463776
Pheno26	0	0	107.7393792505524	20.96	0.817124956824793	0.842443729903537	-1.2383468217765614
Pheno25	0	0	107.2825360534637	21.32	0.8136601329108861	0.8569131832797429	-1.2421167245507576
